2017-02-17 13:56:40,481 | INFO  | FelixStartLevel  | NamespaceHandlerRegisterer       | 56 - org.apache.cxf.cxf-core - 3.1.5 | Registered blueprint namespace handler for http://cxf.apache.org/blueprint/jaxrs
2017-02-17 13:56:40,485 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | Bundle Considered for SPI providers: org.apache.cxf.cxf-rt-frontend-jaxrs
2017-02-17 13:56:40,485 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | No 'SPI-Provider' Manifest header. Skipping bundle: org.apache.cxf.cxf-rt-frontend-jaxrs
2017-02-17 13:56:40,499 | INFO  | FelixStartLevel  | CXFActivator                     | 56 - org.apache.cxf.cxf-core - 3.1.5 | Adding the extensions from bundle org.apache.cxf.cxf-rt-frontend-jaxws (70) [org.apache.cxf.jaxws.context.WebServiceContextResourceResolver]
2017-02-17 13:56:40,506 | INFO  | FelixStartLevel  | NamespaceHandlerRegisterer       | 56 - org.apache.cxf.cxf-core - 3.1.5 | Registered blueprint namespace handler for http://cxf.apache.org/blueprint/jaxws
2017-02-17 13:56:40,508 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | Bundle Considered for SPI providers: org.apache.cxf.cxf-rt-frontend-jaxws
2017-02-17 13:56:40,509 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | No 'SPI-Provider' Manifest header. Skipping bundle: org.apache.cxf.cxf-rt-frontend-jaxws
2017-02-17 13:56:40,525 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | Bundle Considered for SPI providers: org.apache.cxf.cxf-rt-frontend-js
2017-02-17 13:56:40,526 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | No 'SPI-Provider' Manifest header. Skipping bundle: org.apache.cxf.cxf-rt-frontend-js
2017-02-17 13:56:40,528 | INFO  | FelixStartLevel  | NamespaceHandlerRegisterer       | 56 - org.apache.cxf.cxf-core - 3.1.5 | Registered blueprint namespace handler for http://cxf.apache.org/blueprint/simple
